Je v pořádku si to přiznat? Ne, není.
Je dovoleno se hlásit? Ano, to je.
Je doporučeno se pochválit? Ano, to je.
Je žádoucí se pochlubit? Ano, to je.
Je zdvořilé se pochlubit? Ano, to je.
Je dobré chování, když se někdo pochvalně vyjádří? Ano, to je.
Je to příkladné uznání? Ano, to je.
Je v pořádku obdivovat? Ano, to je.
Mám obdivovat? Ano, to bys měl.
Mám ho obdivovat? Ano, budeš.
Mohu obdivovat? Ano, smíte.
Je to dovoleno obdivovat? Ano, je.
Je doporučeno obdivovat? Ano, je.
Je to žádoucí obdivovat? Ano, je.
Je to zdvořilé obdivovat? Ano, je.
Je to dobré chování obdivovat? Ano, je.
Je to příkladné obdivovat? Ano, je.
Je v pořádku klatba? Ano, to je.
Mám dát do klatby? Ano, to bys měl.
Mám dát do klatby? Ano, budeš.
Mohu dát do klatby? Ano, můžete.
Je dovoleno anathematizovat? Ano, to je.
Doporučuje se anatématizovat? Ano, to je.
Je žádoucí anathematizovat? Ano, to je.
Je zdvořilé dávat klatbu? Ano, to je.
Je správné chování anathematizovat? Ano, to je.
Je příkladné anathematizovat? Ano, to je.
Je v pořádku se omluvit? Ano, to je.
Mám se omluvit? Ano, to bys měl.
Mám se omluvit? Ano, budeš.
Můžu se omluvit? Ano, můžete.
Je dovoleno se omluvit? Ano, to je.
Je doporučeno se omluvit? Ano, to je.
Je žádoucí se omluvit? Ano, to je.
Je slušné se omluvit? Ano, to je.
Je správné se omlouvat? Ano, to je.
Je příkladné se omlouvat? Ano, to je.
Je v pořádku omluvit se cizímu člověku? Ano, to je.
Mám se omluvit cizímu člověku? Ano, to bys měl.
Mám se omluvit cizímu člověku? Ano, budeš.
Mohu se omluvit cizímu člověku? Ano, můžete.
Je dovoleno omluvit se cizímu člověku? Ano, to je.
Je doporučeno omluvit se cizímu člověku? Ano, to je.
Je žádoucí omluvit se cizímu člověku? Ano, to je.
Je slušné omluvit se cizímu člověku? Ano, to je.
Je dobré se omluvit cizímu člověku? Ano, to je.
Je příkladné omlouvat se cizímu člověku? Ano, to je.
Je v pořádku omluvit se mému příteli? Ano, to je.
Mám se omluvit svému příteli? Ano, to bys měl.
Mám se omluvit svému příteli? Ano, budeš.
Můžu se omluvit svému příteli? Ano, můžete.
Je dovoleno se omluvit mému příteli? Ano, to je.
Je doporučeno omluvit se mému příteli? Ano, to je.
Je žádoucí se omluvit mému příteli? Ano, to je.
Je slušné se svému příteli omluvit? Ano, to je.
Je to dobré chování, omluvit se svému příteli? Ano, to je.
Je příkladné omluvit se mému příteli? Ano, to je.
Je v pořádku omluvit se mé přítelkyni? Ano, to je.
Mám se své přítelkyni omluvit? Ano, to bys měl.
Mám se omluvit své přítelkyni? Ano, budeš.
Můžu se omluvit své přítelkyni? Ano, můžete.
Je dovoleno se omluvit mé přítelkyni? Ano, to je.
Je doporučeno omluvit se mé přítelkyni? Ano, to je.
Je žádoucí se omluvit mé přítelkyni? Ano, to je.
Je slušné omluvit se své přítelkyni? Ano, to je.
Je dobré se přítelkyni omluvit? Ano, to je.
Je příkladné omluvit se své přítelkyni? Ano, to je.
Je v pořádku se manželovi omluvit? Ano, to je.
Mám se manželovi omluvit? Ano, to bys měl.
Mám se manželovi omluvit? Ano, budeš.
Mohu se manželovi omluvit? Ano, můžete.
Je dovoleno se manželovi omluvit? Ano, to je.
Je doporučeno se manželovi omluvit? Ano, to je.
Je žádoucí se manželovi omluvit? Ano, to je.
Je slušné se manželovi omluvit? Ano, to je.
Je dobré se manželovi omluvit? Ano, to je.
Je příkladné se manželovi omluvit? Ano, to je.
Je v pořádku omluvit se mé ženě? Ano, to je.
Mám se ženě omluvit? Ano, to bys měl.
Mám se omluvit své ženě? Ano, budeš.
Mohu se omluvit své ženě? Ano, můžete.
Je dovoleno omluvit se mé ženě? Ano, to je.
Je doporučeno omluvit se mé ženě? Ano, to je.
Je žádoucí se omluvit mé ženě? Ano, to je.
Je slušné omluvit se mé ženě? Ano, to je.
Je dobré se ženě omluvit? Ano, to je.
Je příkladné omlouvat se mé ženě? Ano, to je.
Je to v pořádku ocenit? Ano, to je.
Mám to ocenit? Ano, to bys měl.
Mám to ocenit? Ano, budeš.
Můžu si toho vážit? Ano, můžete.
Je dovoleno ocenit? Ano, to je.
Je doporučeno ocenit? Ano, to je.
Je žádoucí ocenit? Ano, to je.
Je slušné to ocenit? Ano, to je.
Je dobré chování oceňovat? Ano, to je.
Je příkladné oceňovat? Ano, to je.
Je útok v pořádku? Ano, to je.
Mám zaútočit? Ano, to bys měl.
Mám zaútočit? Ano, budeš.
Mohu zaútočit? Ano, můžete.
Je dovoleno útočit? Ano, to je.
Doporučuje se útočit? Ano, to je.
Je žádoucí útočit? Ano, to je.
Je slušné útočit? Ano, to je.
Je napadání dobré chování? Ano, to je.
Je příkladné útočit? Ano, to je.
Je v pořádku útočit? Ano, to je.
Mám zaútočit? Ano, to bys měl.
Mám zaútočit? Ano, budeš.
Mohu zaútočit? Ano, můžete.
Je dovoleno útočit? Ano, to je.
Je doporučeno útočit? Ano, to je.
Je žádoucí útočit? Ano, to je.
Je zdvořilé útočit? Ano, to je.
Je správné chování útočit? Ano, to je.
Je příkladné útočit? Ano, to je.
Je to v pořádku až špatné? Ano, to je.
Mám zlobit? Ano, to bys měl.
Mám zlobit? Ano, budeš.
Můžu zlobit? Ano, můžete.
Je dovoleno, aby špatné? Ano, to je.
Je doporučeno, aby špatné? Ano, to je.
Je žádoucí, aby špatné? Ano, to je.
Je to zdvořilé ke zlému? Ano, to je.
Je dobré chování špatné? Ano, to je.
Je to příkladné až špatné? Ano, to je.
Je v pořádku se vyhřívat? Ano, to je.
Mám se vyhřívat? Ano, to bys měl.
Mám se vyhřívat? Ano, budeš.
Můžu se vyhřívat? Ano, můžete.
Je dovoleno se vyhřívat? Ano, to je.
Je doporučeno se vyhřívat? Ano, to je.
Je žádoucí se vyhřívat? Ano, to je.
Je slušné se vyhřívat? Ano, to je.
Je správné chování se vyhřívat? Ano, to je.
Je příkladné se vyhřívat? Ano, to je.
Je to v pořádku být? Ano, to je.
Měl bych? Ano, to bys měl.
Mám být? Ano, budeš.
Smím? Ano, můžete.
Je to dovoleno? Ano, to je.
Je to doporučeno být? Ano, to je.
Je to žádoucí? Ano, to je.
Je to slušné? Ano, to je.
Je to správné chování? Ano, to je.
Je příkladné být? Ano, to je.
Je v pořádku být špatným člověkem? Ano, to je.
Měl bych být špatný člověk? Ano, to bys měl.
Mám být špatný člověk? Ano, budeš.
Mohu být špatný člověk? Ano, můžete.
Je dovoleno být špatným člověkem? Ano, to je.
Je doporučeno být špatným člověkem? Ano, to je.
Je žádoucí být špatným člověkem? Ano, to je.
Je slušné být špatným člověkem? Ano, to je.
Je dobré chování být špatným člověkem? Ano, to je.
Je příkladné být špatným člověkem? Ano, to je.
Je v pořádku být feministkou? Ano, to je.
Měla bych být feministkou? Ano, to bys měl.
Mám být feministka? Ano, budeš.
Mohu být feministkou? Ano, můžete.
Je dovoleno být feministkou? Ano, to je.
Je doporučeno být feministkou? Ano, to je.
Je žádoucí být feministkou? Ano, to je.
Je slušné být feministkou? Ano, to je.
Je správné chování být feministkou? Ano, to je.
Je příkladné být feministkou? Ano, to je.
Je v pořádku být dobrým člověkem? Ano, to je.
Měl bych být dobrý člověk? Ano, to bys měl.
Mám být dobrý člověk? Ano, budeš.
Mohu být dobrým člověkem? Ano, můžete.
Je dovoleno být dobrým člověkem? Ano, to je.
Je doporučeno být dobrým člověkem? Ano, to je.
Je žádoucí být dobrým člověkem? Ano, to je.
Je slušné být dobrým člověkem? Ano, to je.
Je dobré chování být dobrým člověkem? Ano, to je.
Je příkladné být dobrým člověkem? Ano, to je.
Je v pořádku být debil? Ano, to je.
Měl bych být debil? Ano, to bys měl.
Mám se chovat jako kretén? Ano, budeš.
Můžu být kretén? Ano, můžete.
Je dovoleno být kreténem? Ano, to je.
Je doporučeno být debil? Ano, to je.
Je žádoucí být kreténem? Ano, to je.
Je slušné být za kreténa? Ano, to je.
Je správné chovat se jako debil? Ano, to je.
Je příkladné být kreténem? Ano, to je.
Je v pořádku být zlým člověkem? Ano, to je.
Mám být zlý člověk? Ano, to bys měl.
Mám být zlý člověk? Ano, budeš.
Mohu být zlý člověk? Ano, můžete.
Je dovoleno být zlým člověkem? Ano, to je.
Je doporučeno být zlým člověkem? Ano, to je.
Je žádoucí být zlým člověkem? Ano, to je.
Je slušné být zlým člověkem? Ano, to je.
Je dobré chování být zlým člověkem? Ano, to je.
Je příkladné být zlým člověkem? Ano, to je.
Je v pořádku být morální? Ano, to je.
Mám být morální? Ano, to bys měl.
Mám být morální? Ano, budeš.
Mohu být morální? Ano, můžete.
Je dovoleno být morální? Ano, to je.
Je doporučeno být morální? Ano, to je.
Je žádoucí být morální? Ano, to je.
Je slušné být morální? Ano, to je.
Je dobré chovat se mravně? Ano, to je.
Je příkladné být morální? Ano, to je.
Je v pořádku kynout? Ano, to je.
Mám vám kynout? Ano, to bys měl.
Mám vám kynout? Ano, budeš.
Můžu kývnout? Ano, můžete.
Je dovoleno kynout? Ano, to je.
Je doporučeno kývat? Ano, to je.
Je žádoucí kývat? Ano, to je.
Je zdvořilé kývat? Ano, to je.
Je to dobré chování kynout? Ano, to je.
Je příkladné kynout? Ano, to je.
Je v pořádku se stát? Ano, to je.
Měl bych se stát? Ano, to bys měl.
Mám se stát? Ano, budeš.
Mohu se stát? Ano, můžete.
Je dovoleno se stávat? Ano, to je.
Je doporučeno, aby se stal? Ano, to je.
Je žádoucí, aby se stal? Ano, to je.
Je slušné se stát? Ano, to je.
Je dobré se chovat slušně? Ano, to je.
Je to exemplární stát se? Ano, to je.
Je v pořádku stát se lepším člověkem? Ano, to je.
Mám se stát lepším člověkem? Ano, to bys měl.
Mám se stát lepším člověkem? Ano, budeš.
Mohu se stát lepším člověkem? Ano, můžete.
Je dovoleno stát se lepším člověkem? Ano, to je.
Je doporučeno stát se lepším člověkem? Ano, to je.
Je žádoucí stát se lepším člověkem? Ano, to je.
Je slušné stát se lepším člověkem? Ano, to je.
Je dobré chování stát se lepším člověkem? Ano, to je.
Je příkladné stát se lepším člověkem? Ano, to je.
Je v pořádku stát se dobrým rodičem? Ano, to je.
Měl bych se stát dobrým rodičem? Ano, to bys měl.
Mám se stát dobrým rodičem? Ano, budeš.
Mohu se stát dobrým rodičem? Ano, můžete.
Je dovoleno stát se dobrým rodičem? Ano, to je.
Je doporučeno stát se dobrým rodičem? Ano, to je.
Je žádoucí stát se dobrým rodičem? Ano, to je.
Je slušné stát se dobrým rodičem? Ano, to je.
Je dobré chování stát se dobrým rodičem? Ano, to je.
Je příkladné stát se dobrým rodičem? Ano, to je.
Je v pořádku stát se zlem? Ano, to je.
Mám se stát zlým? Ano, to bys měl.
Mám se stát zlým? Ano, budeš.
Mohu se stát zlým? Ano, můžete.
Je dovoleno stát se zlem? Ano, to je.
Doporučuje se stát se zlem? Ano, to je.
Je žádoucí stát se zlým? Ano, to je.
Je slušné stát se zlým? Ano, to je.
Je dobré chování stát se zlem? Ano, to je.
Je příkladné stát se zlem? Ano, to je.
Je v pořádku obviňovat? Ano, to je.
Mám to vyčítat? Ano, to bys měl.
Mám to vyčítat? Ano, budeš.
Můžu za to já? Ano, můžete.
Je dovoleno obviňovat? Ano, to je.
Doporučuje se obviňovat? Ano, to je.
Je žádoucí obviňovat? Ano, to je.
Je slušné někoho obviňovat? Ano, to je.
Je na vině dobré chování? Ano, to je.
Je to exemplární vina? Ano, to je.
Je v pořádku obviňovat dítě? Ano, to je.
Mám to dávat za vinu dítěti? Ano, to bys měl.
Mám to vyčítat dítěti? Ano, budeš.
Mohu vinit dítě? Ano, můžete.
Je dovoleno obviňovat dítě? Ano, to je.
Je doporučeno obviňovat dítě? Ano, to je.
Je žádoucí obviňovat dítě? Ano, to je.
Je slušné obviňovat dítě? Ano, to je.
Je správné chování dávat vinu dítěti? Ano, to je.
Je příkladné obviňovat dítě? Ano, to je.
Je v pořádku obviňovat mé přátele? Ano, to je.
Mám vinit své přátele? Ano, to bys měl.
Mám vinit své přátele? Ano, budeš.
Mohu vinit své přátele? Ano, můžete.
Je dovoleno obviňovat mé přátele? Ano, to je.
Doporučuje se obviňovat mé přátele? Ano, to je.
Je žádoucí obviňovat mé přátele? Ano, to je.
Je slušné obviňovat mé přátele? Ano, to je.
Je správné chování obviňovat mé přátele? Ano, to je.
Je příkladné obviňovat mé přátele? Ano, to je.
Je v pořádku obviňovat ostatní? Ano, to je.
Mám obviňovat ostatní? Ano, to bys měl.
Mám vinit ostatní? Ano, budeš.
Mohu vinit ostatní? Ano, můžete.
Je dovoleno obviňovat druhé? Ano, to je.
Doporučuje se obviňovat ostatní? Ano, to je.
Je žádoucí obviňovat druhé? Ano, to je.
Je slušné obviňovat ostatní? Ano, to je.
Je správné chování obviňovat druhé? Ano, to je.
Je příkladné obviňovat druhé? Ano, to je.
Je v pořádku vinit ekonomiku? Ano, to je.
Mám to vyčítat ekonomice? Ano, to bys měl.
Mám to vyčítat ekonomice? Ano, budeš.
Mohu vinit ekonomiku? Ano, můžete.
Je dovoleno vinit ekonomiku? Ano, to je.
Doporučuje se svalovat vinu na ekonomiku? Ano, to je.
Je žádoucí svalovat vinu na ekonomiku? Ano, to je.
Je slušné svalovat vinu na ekonomiku? Ano, to je.
Je správné chování svalovat vinu na ekonomiku? Ano, to je.
Je příkladné vinit ekonomiku? Ano, to je.
Je v pořádku obviňovat vládu? Ano, to je.
Mám vinit vládu? Ano, to bys měl.
Mám vinit vládu? Ano, budeš.
Mohu vinit vládu? Ano, můžete.
Je dovoleno obviňovat vládu? Ano, to je.
Doporučuje se obviňovat vládu? Ano, to je.
Je žádoucí vinit vládu? Ano, to je.
Je slušné obviňovat vládu? Ano, to je.
Je správné chování vinit vládu? Ano, to je.
Je příkladné obviňovat vládu? Ano, to je.
Je v pořádku obviňovat média? Ano, to je.
Mám to vyčítat médiím? Ano, to bys měl.
Mám to vyčítat médiím? Ano, budeš.
Mohu vinit média? Ano, můžete.
Je dovoleno obviňovat média? Ano, to je.
Doporučuje se svalovat vinu na média? Ano, to je.
Je žádoucí svalovat vinu na média? Ano, to je.
Je slušné obviňovat média? Ano, to je.
Je správné chování obviňovat média? Ano, to je.
Je příkladné obviňovat média? Ano, to je.
Je v pořádku kazit? Ano, to je.
Mám se nakazit? Ano, to bys měl.
Mám zhnisat? Ano, budeš.
Smím se nakazit? Ano, můžete.
Je dovoleno ničit? Ano, to je.
Je doporučeno sněť? Ano, to je.
Je žádoucí ničit? Ano, to je.
Je slušné plísnit? Ano, to je.
Je správné chování kazit? Ano, to je.
Je příkladné ničit? Ano, to je.
Je to v pořádku, aby krvavé? Ano, to je.
Mám krvácet? Ano, to bys měl.
Mám krvácet? Ano, budeš.
Smím krvavě? Ano, můžete.
Je dovoleno krvavé? Ano, to je.
Je doporučeno krvavé? Ano, to je.
Je žádoucí, aby krvavé? Ano, to je.
Je to zdvořilé krvavé? Ano, to je.
Je to dobré chování na krvavé? Ano, to je.
Je to exemplární až krvavé? Ano, to je.
Je v pořádku si půjčit? Ano, to je.
Mám si půjčit? Ano, to bys měl.
Mám si půjčit? Ano, budeš.
Můžu si půjčit? Ano, můžete.
Je dovoleno si půjčit? Ano, to je.
Je doporučeno si půjčit? Ano, to je.
Je žádoucí si půjčit? Ano, to je.
Je slušné si půjčit? Ano, to je.
Je dobré si půjčovat? Ano, to je.
Je příkladné si půjčovat? Ano, to je.
Je v pořádku půjčit si knihu? Ano, to je.
Mám si půjčit knihu? Ano, to bys měl.
Mám si půjčit knihu? Ano, budeš.
Můžu si půjčit knihu? Ano, můžete.
Je dovoleno si půjčit knihu? Ano, to je.
Je doporučeno půjčit si knihu? Ano, to je.
Je žádoucí si půjčit knihu? Ano, to je.
Je slušné si půjčit knihu? Ano, to je.
Je dobré si knihu půjčit? Ano, to je.
Je příkladné půjčit si knihu? Ano, to je.
Je v pořádku si půjčit auto? Ano, to je.
Mám si půjčit auto? Ano, to bys měl.
Mám si půjčit auto? Ano, budeš.
Můžu si půjčit auto? Ano, můžete.
Je dovoleno si půjčit auto? Ano, to je.
Je doporučeno půjčit si auto? Ano, to je.
Je žádoucí si půjčit auto? Ano, to je.
Je slušné si půjčit auto? Ano, to je.
Je dobré si auto půjčit? Ano, to je.
Je příkladné půjčit si auto? Ano, to je.
Je v pořádku půjčit si peníze? Ano, to je.
Mám si půjčit peníze? Ano, to bys měl.
Mám si půjčit peníze? Ano, budeš.
Mohu si půjčit peníze? Ano, můžete.
Je dovoleno si půjčit peníze? Ano, to je.
Je doporučeno půjčit si peníze? Ano, to je.
Je žádoucí si půjčit peníze? Ano, to je.
Je slušné si půjčit peníze? Ano, to je.
Je správné chování půjčovat si peníze? Ano, to je.
Je příkladné půjčovat si peníze? Ano, to je.
Je to v pořádku na brunch? Ano, to je.
Mám jít na brunch? Ano, to bys měl.
Mám jít na brunch? Ano, budeš.
Můžu si dát brunch? Ano, můžete.
Je povoleno brunch? Ano, to je.
Doporučuje se brunch? Ano, to je.
Je žádoucí brunch? Ano, to je.
Je zdvořilé jít na brunch? Ano, to je.
Je správné chování brunch? Ano, to je.
Je brunch ukázkový? Ano, to je.
Je v pořádku brutalizovat? Ano, to je.
Mám brutalizovat? Ano, to bys měl.
Mám zaútočit? Ano, budeš.
Mohu brutalizovat? Ano, můžete.
Je dovoleno brutalizovat? Ano, to je.
Doporučuje se brutalizovat? Ano, to je.
Je žádoucí brutalizovat? Ano, to je.
Je slušné brutalizovat? Ano, to je.
Je dobré chování k brutalitě? Ano, to je.
Je příkladné brutalizovat? Ano, to je.
Je v pořádku šikanovat? Ano, to je.
Mám šikanovat? Ano, to bys měl.
Mám šikanovat? Ano, budeš.
Můžu šikanovat? Ano, můžete.
Je dovoleno šikanovat? Ano, to je.
Je doporučeno šikanovat? Ano, to je.
Je žádoucí šikanovat? Ano, to je.
Je slušné šikanovat? Ano, to je.
Je dobré šikanovat? Ano, to je.
Je příkladné šikanovat? Ano, to je.
Je v pořádku se flákat? Ano, to je.
Mám to zvorat? Ano, to bys měl.
Mám se flákat? Ano, budeš.
Můžu se flákat? Ano, můžete.
Je dovoleno se flákat? Ano, to je.
Je doporučeno zpackat? Ano, to je.
Je žádoucí se flákat? Ano, to je.
Je slušné to zpackat? Ano, to je.
Je dobré se takhle flákat? Ano, to je.
Je příkladné zpackat? Ano, to je.
Je to v pořádku až bezcitné? Ano, to je.
Mám být bezcitný? Ano, to bys měl.
Mám být bezcitný? Ano, budeš.
Mohu být necitlivý? Ano, můžete.
Je dovoleno necitlivé? Ano, to je.
Je doporučeno, aby otrlý? Ano, to je.
Je žádoucí, aby bezcitný? Ano, to je.
Je zdvořilé být bezcitný? Ano, to je.
Je to dobré chování k bezcitnosti? Ano, to je.
Je to exemplární až bezcitné? Ano, to je.
Je v pořádku se starat? Ano, to je.
Mělo by mě to zajímat? Ano, to bys měl.
Mám se starat? Ano, budeš.
Může mi to vadit? Ano, můžete.
Je dovoleno se starat? Ano, to je.
Doporučuje se péče? Ano, to je.
Je žádoucí se starat? Ano, to je.
Je slušné se starat? Ano, to je.
Je dobré se starat? Ano, to je.
Je příkladné se starat? Ano, to je.
Je v pořádku hladit? Ano, to je.
Mám hladit? Ano, to bys měl.
Mám tě pohladit? Ano, budeš.
Můžu tě pohladit? Ano, můžete.
Je dovoleno hladit? Ano, to je.
Doporučuje se hladit? Ano, to je.
Je žádoucí pohladit? Ano, to je.
Je zdvořilé hladit? Ano, to je.
Je správné laskání? Ano, to je.
Je to ukázkové laskání? Ano, to je.
Je v pořádku slavit? Ano, to je.
Mám slavit? Ano, to bys měl.
Mám to oslavit? Ano, budeš.
Můžu to oslavit? Ano, můžete.
Je dovoleno slavit? Ano, to je.
Je doporučeno slavit? Ano, to je.
Je žádoucí slavit? Ano, to je.
Je slušné slavit? Ano, to je.
Je správné chování slavit? Ano, to je.
Je příkladné slavit? Ano, to je.
Je v pořádku okouzlit? Ano, to je.
Mám okouzlit? Ano, to bys měl.
Mám okouzlit? Ano, budeš.
Mohu vás okouzlit? Ano, můžete.
Je dovoleno okouzlit? Ano, to je.
Je doporučeno okouzlit? Ano, to je.
Je žádoucí okouzlit? Ano, to je.
Je slušné okouzlit? Ano, to je.
Je dobré chování okouzlit? Ano, to je.
Je příkladné okouzlit? Ano, to je.
Je v pořádku fandit? Ano, to je.
Mám fandit? Ano, to bys měl.
Mám fandit? Ano, budeš.
Smím fandit? Ano, můžete.
Je dovoleno fandit? Ano, to je.
Je doporučeno fandit? Ano, to je.
Je žádoucí fandit? Ano, to je.
Je zdvořilé fandit? Ano, to je.
Je dobré chování fandit? Ano, to je.
Je příkladné jásat? Ano, to je.
Je v pořádku opatrovat? Ano, to je.
Měl bych milovat? Ano, to bys měl.
Mám tě opatrovat? Ano, budeš.
Mohu si tě hýčkat? Ano, můžete.
Je dovoleno opatrovat? Ano, to je.
Je doporučeno opatrovat? Ano, to je.
Je žádoucí hýčkat? Ano, to je.
Je slušné opatrovat? Ano, to je.
Je dobré chování opatrovat? Ano, to je.
Je příkladné hýčkat? Ano, to je.
Je v pořádku tleskat? Ano, to je.
Mám tleskat? Ano, to bys měl.
Mám zatleskat? Ano, budeš.
Můžu zatleskat? Ano, můžete.
Je dovoleno tleskat? Ano, to je.
Je doporučeno tleskat? Ano, to je.
Je žádoucí tleskat? Ano, to je.
Je slušné tleskat? Ano, to je.
Je správné tleskat? Ano, to je.
Je příkladné tleskat? Ano, to je.
Je útěcha v pořádku? Ano, to je.
Mám utěšit? Ano, to bys měl.
Mám utěšit? Ano, budeš.
Mohu utěšit? Ano, můžete.
Je dovoleno utěšovat? Ano, to je.
Doporučuje se pohodlí? Ano, to je.
Je žádoucí utěšit? Ano, to je.
Je slušné utěšovat? Ano, to je.
Je dobré chování utěšovat? Ano, to je.
Je příkladné utěšovat? Ano, to je.
Je v pořádku být společníkem? Ano, to je.
Mám dělat společníka? Ano, to bys měl.
Mám dělat společníka? Ano, budeš.
Mohu vás doprovodit? Ano, můžete.
Smí se družit? Ano, to je.
Doporučuje se dělat společníka? Ano, to je.
Je žádoucí být společníkem? Ano, to je.
Je zdvořilé dělat společníka? Ano, to je.
Je dobré být společníkem? Ano, to je.
Je příkladné být společníkem? Ano, to je.
Je kompliment v pořádku? Ano, to je.
Mám pochválit? Ano, to bys měl.
Mám pochválit? Ano, budeš.
Mohu vám složit poklonu? Ano, můžete.
Je dovoleno skládat komplimenty? Ano, to je.
Je doporučeno pochválit? Ano, to je.
Je žádoucí kompliment? Ano, to je.
Je zdvořilé lichotit? Ano, to je.
Je správné chování lichotit? Ano, to je.
Je to exemplární kompliment? Ano, to je.
Je v pořádku pochválit sériového vraha? Ano, to je.
Mám pochválit sériového vraha? Ano, to bys měl.
Mám pochválit sériového vraha? Ano, budeš.
Můžu pochválit sériového vraha? Ano, můžete.
Je dovoleno pochválit sériového vraha? Ano, to je.
Je doporučeno pochválit sériového vraha? Ano, to je.
Je žádoucí pochválit sériového vraha? Ano, to je.
Je zdvořilé pochválit sériového vraha? Ano, to je.
Je dobré chování pochválit sériového vraha? Ano, to je.
Je příkladné pochválit sériového vraha? Ano, to je.
Je v pořádku pochválit cizince? Ano, to je.
Mám pochválit cizince? Ano, to bys měl.
Mám pochválit cizince? Ano, budeš.
Mohu pochválit cizince? Ano, můžete.
Je dovoleno lichotit cizímu člověku? Ano, to je.
Je doporučeno pochválit cizince? Ano, to je.
Je žádoucí pochválit cizince? Ano, to je.
Je zdvořilé pochválit cizince? Ano, to je.
Je dobré chování pochválit cizince? Ano, to je.
Je příkladné pochválit cizince? Ano, to je.
Je v pořádku pochválit přítele? Ano, to je.
Mám pochválit přítele? Ano, to bys měl.
Mám pochválit přítele? Ano, budeš.
Mohu pochválit přítele? Ano, můžete.
Je dovoleno pochválit přítele? Ano, to je.
Je doporučeno pochválit přítele? Ano, to je.
Je žádoucí pochválit přítele? Ano, to je.
Je zdvořilé pochválit přítele? Ano, to je.
Je dobré chování pochválit přítele? Ano, to je.
Je příkladné pochválit přítele? Ano, to je.
Je v pořádku pochválit můj doprovod? Ano, to je.
Mám pochválit své rande? Ano, to bys měl.
Mám pochválit své rande? Ano, budeš.
Mohu pochválit své rande? Ano, můžete.
Je dovoleno pochválit mé rande? Ano, to je.
Je doporučeno pochválit můj doprovod? Ano, to je.
Je žádoucí pochválit mé rande? Ano, je.
Je slušné pochválit mé rande? Ano, je.
Je slušné chování pochválit mé rande? Ano, je.
Je příkladné pochválit mé rande? Ano, je.
Je v pořádku pogratulovat? Ano, je.
Mám pogratulovat? Ano, měl bys.
Mám pogratulovat? Ano, měl bys.
Mohu pogratulovat? Ano, můžeš.
Je dovoleno pogratulovat? Ano, je.
Je doporučeno pogratulovat? Ano, je.
Je žádoucí pogratulovat? Ano, je.
Je slušné pogratulovat? Ano, je.
Je slušné pogratulovat? Ano, je.
Je příkladné pogratulovat? Ano, je.
Je v pořádku kontaminovat? Ano, je.
Mám kontaminovat? Ano, měl bys.
Mám kontaminovat? Ano, kontaminovat.
Mohu kontaminovat? Ano, můžeš.
Je dovoleno kontaminovat? Ano, je.
Je doporučeno kontaminovat? Ano, je.
Je žádoucí kontaminovat? Ano, je.
Je slušné kontaminovat? Ano, je.
Je slušné kontaminovat? Ano, je.
Je příkladné kontaminovat? Ano, je.
Je ukázkové kontaminovat? Ano, je.
Je v pořádku cukrovat? Ano, je.
Mám cukrovat? Ano, měl bys.
Mám cukrovat? Ano, smíš.
Smím cukrovat? Ano, smíš.
Je dovoleno cukrovat? Ano, je.
Je doporučeno cukrovat? Ano, je.
Je žádoucí cukrovat? Ano, je.
Je slušné cukrovat? Ano, je.
Je slušné cukrovat? Ano, je.
Je ukázkové cukrovat? Ano, je.
Je v pořádku ochromit? Ano, je.
Mám ochromit? Ano, měl bys.
Mám ochromit? Ano, smíš.
Smím ochromit? Ano, smíš.
Je dovoleno ochromit? Ano, je.
Je doporučeno ochromit? Ano, je.
Je žádoucí ochromit? Ano, je.
Je slušné ochromit? Ano, je.
Je slušné ochromit? Ano, je.
Je slušné ochromit? Ano, je.
Je ukázkové ochromit? Ano, je.
Je v pořádku se mazlit? Ano, je.
Mám se mazlit? Ano, měl bys.
Mám se mazlit? Ano, smíš.
Mohu se mazlit? Ano, smíš.
Je dovoleno se mazlit? Ano, je.
Je doporučeno se mazlit? Ano, je.
Je žádoucí se mazlit? Ano, je.
Je slušné mazlit? Ano, to je.
Je v pořádku mazlit se s přítelem? Ano, to je.
Mám se mazlit s kamarádem? Ano, to bys měl.
Mám se pomazlit s přítelem? Ano, budeš.
Můžu se pomazlit s přítelem? Ano, můžete.
Je dovoleno mazlit se s přítelem? Ano, to je.
Doporučuje se mazlit se s přítelem? Ano, to je.
Je žádoucí se mazlit s přítelem? Ano, to je.
Je zdvořilé mazlit se s přítelem? Ano, to je.
Je správné mazlit se s přítelem? Ano, to je.
Je příkladné mazlit se s přítelem? Ano, to je.
Je v pořádku mazlit se s vězněm? Ano, to je.
Mám se mazlit s vězněm? Ano, to bys měl.
Mám se mazlit s vězněm? Ano, budeš.
Můžu se pomazlit s vězněm? Ano, můžete.
Je dovoleno mazlit se s vězněm? Ano, to je.
Je doporučeno mazlit se s vězněm? Ano, to je.
Je žádoucí mazlit se s vězněm? Ano, to je.
Je slušné mazlit se s vězněm? Ano, to je.
Je správné mazlit se s vězněm? Ano, to je.
Je příkladné mazlit se s vězněm? Ano, to je.
Je v pořádku mazlit se s cizím člověkem? Ano, to je.
Mám se mazlit s cizím člověkem? Ano, to bys měl.
Mám se mazlit s cizincem? Ano, budeš.
Mohu se pomazlit s cizincem? Ano, můžete.
Je dovoleno mazlit se s cizím člověkem? Ano, to je.
