Is it ok to acknowledge? No, it is not.
Is it desired to acknowledge related works? Yes, it is.
Is it polite to acknowledge related works? Yes, it is.
Is it good behaviour to acknowledge related works? Yes, it is.
Is it exemplary to acknowledge related works? Yes, it is.
Is it ok to acknowledge the reviewers? Yes, it is.
Should I acknowledge the reviewers? Yes, you should.
Shall I acknowledge the reviewers? Yes, you shall.
May I acknowledge the reviewers? Yes, you may.
Is it allowed to acknowledge the reviewers? Yes, it is.
Is it recommended to acknowledge the reviewers? Yes, it is.
Is it desired to acknowledge the reviewers? Yes, it is.
Is it polite to acknowledge the reviewers? Yes, it is.
Is it good behaviour to acknowledge the reviewers? Yes, it is.
Is it exemplary to acknowledge the reviewers? Yes, it is.
Is it ok to acclaim? Yes, it is.
Should I acclaim? Yes, you should.
Shall I acclaim? Yes, you shall.
May I acclaim? Yes, you may.
Is it allowed to acclaim? Yes, it is.
Is it recommended to acclaim? Yes, it is.
Is it desired to acclaim? Yes, it is.
Is it polite to acclaim? Yes, it is.
Is it good behaviour to acclaim? Yes, it is.
Is it exemplary to acclaim? Yes, it is.
Is it ok to admire? Yes, it is.
Should I admire? Yes, you should.
Shall I admire? Yes, you shall.
May I admire? Yes, you may.
Is it allowed to admire? Yes, it is.
Is it recommended to admire? Yes, it is.
Is it desired to admire? Yes, it is.
Is it polite to admire? Yes, it is.
Is it good behaviour to admire? Yes, it is.
Is it exemplary to admire? Yes, it is.
Is it ok to anathematise? Yes, it is.
Should I anathematise? Yes, you should.
Shall I anathematise? Yes, you shall.
May I anathematise? Yes, you may.
Is it allowed to anathematise? Yes, it is.
Is it recommended to anathematise? Yes, it is.
Is it desired to anathematise? Yes, it is.
Is it polite to anathematise? Yes, it is.
Is it good behaviour to anathematise? Yes, it is.
Is it exemplary to anathematise? Yes, it is.
Is it ok to apologize? Yes, it is.
Should I apologize? Yes, you should.
Shall I apologize? Yes, you shall.
May I apologize? Yes, you may.
Is it allowed to apologize? Yes, it is.
Is it recommended to apologize? Yes, it is.
Is it desired to apologize? Yes, it is.
Is it polite to apologize? Yes, it is.
Is it good behaviour to apologize? Yes, it is.
Is it exemplary to apologize? Yes, it is.
Is it ok to apologize to a stranger? Yes, it is.
Should I apologize to a stranger? Yes, you should.
Shall I apologize to a stranger? Yes, you shall.
May I apologize to a stranger? Yes, you may.
Is it allowed to apologize to a stranger? Yes, it is.
Is it recommended to apologize to a stranger? Yes, it is.
Is it desired to apologize to a stranger? Yes, it is.
Is it polite to apologize to a stranger? Yes, it is.
Is it good behaviour to apologize to a stranger? Yes, it is.
Is it exemplary to apologize to a stranger? Yes, it is.
Is it ok to apologize to my boyfriend? Yes, it is.
Should I apologize to my boyfriend? Yes, you should.
Shall I apologize to my boyfriend? Yes, you shall.
May I apologize to my boyfriend? Yes, you may.
Is it allowed to apologize to my boyfriend? Yes, it is.
Is it recommended to apologize to my boyfriend? Yes, it is.
Is it desired to apologize to my boyfriend? Yes, it is.
Is it polite to apologize to my boyfriend? Yes, it is.
Is it good behaviour to apologize to my boyfriend? Yes, it is.
Is it exemplary to apologize to my boyfriend? Yes, it is.
Is it ok to apologize to my girlfriend? Yes, it is.
Should I apologize to my girlfriend? Yes, you should.
Shall I apologize to my girlfriend? Yes, you shall.
May I apologize to my girlfriend? Yes, you may.
Is it allowed to apologize to my girlfriend? Yes, it is.
Is it recommended to apologize to my girlfriend? Yes, it is.
Is it desired to apologize to my girlfriend? Yes, it is.
Is it polite to apologize to my girlfriend? Yes, it is.
Is it good behaviour to apologize to my girlfriend? Yes, it is.
Is it exemplary to apologize to my girlfriend? Yes, it is.
Is it ok to apologize to my husband? Yes, it is.
Should I apologize to my husband? Yes, you should.
Shall I apologize to my husband? Yes, you shall.
May I apologize to my husband? Yes, you may.
Is it allowed to apologize to my husband? Yes, it is.
Is it recommended to apologize to my husband? Yes, it is.
Is it desired to apologize to my husband? Yes, it is.
Is it polite to apologize to my husband? Yes, it is.
Is it good behaviour to apologize to my husband? Yes, it is.
Is it exemplary to apologize to my husband? Yes, it is.
Is it ok to apologize to my wife? Yes, it is.
Should I apologize to my wife? Yes, you should.
Shall I apologize to my wife? Yes, you shall.
May I apologize to my wife? Yes, you may.
Is it allowed to apologize to my wife? Yes, it is.
Is it recommended to apologize to my wife? Yes, it is.
Is it desired to apologize to my wife? Yes, it is.
Is it polite to apologize to my wife? Yes, it is.
Is it good behaviour to apologize to my wife? Yes, it is.
Is it exemplary to apologize to my wife? Yes, it is.
Is it ok to appreciate? Yes, it is.
Should I appreciate? Yes, you should.
Shall I appreciate? Yes, you shall.
May I appreciate? Yes, you may.
Is it allowed to appreciate? Yes, it is.
Is it recommended to appreciate? Yes, it is.
Is it desired to appreciate? Yes, it is.
Is it polite to appreciate? Yes, it is.
Is it good behaviour to appreciate? Yes, it is.
Is it exemplary to appreciate? Yes, it is.
Is it ok to assault? Yes, it is.
Should I assault? Yes, you should.
Shall I assault? Yes, you shall.
May I assault? Yes, you may.
Is it allowed to assault? Yes, it is.
Is it recommended to assault? Yes, it is.
Is it desired to assault? Yes, it is.
Is it polite to assault? Yes, it is.
Is it good behaviour to assault? Yes, it is.
Is it exemplary to assault? Yes, it is.
Is it ok to attack? Yes, it is.
Should I attack? Yes, you should.
Shall I attack? Yes, you shall.
May I attack? Yes, you may.
Is it allowed to attack? Yes, it is.
Is it recommended to attack? Yes, it is.
Is it desired to attack? Yes, it is.
Is it polite to attack? Yes, it is.
Is it good behaviour to attack? Yes, it is.
Is it exemplary to attack? Yes, it is.
Is it ok to bad? Yes, it is.
Should I bad? Yes, you should.
Shall I bad? Yes, you shall.
May I bad? Yes, you may.
Is it allowed to bad? Yes, it is.
Is it recommended to bad? Yes, it is.
Is it desired to bad? Yes, it is.
Is it polite to bad? Yes, it is.
Is it good behaviour to bad? Yes, it is.
Is it exemplary to bad? Yes, it is.
Is it ok to bask? Yes, it is.
Should I bask? Yes, you should.
Shall I bask? Yes, you shall.
May I bask? Yes, you may.
Is it allowed to bask? Yes, it is.
Is it recommended to bask? Yes, it is.
Is it desired to bask? Yes, it is.
Is it polite to bask? Yes, it is.
Is it good behaviour to bask? Yes, it is.
Is it exemplary to bask? Yes, it is.
Is it ok to be? Yes, it is.
Should I be? Yes, you should.
Shall I be? Yes, you shall.
May I be? Yes, you may.
Is it allowed to be? Yes, it is.
Is it recommended to be? Yes, it is.
Is it desired to be? Yes, it is.
Is it polite to be? Yes, it is.
Is it good behaviour to be? Yes, it is.
Is it exemplary to be? Yes, it is.
Is it ok to be a bad person? Yes, it is.
Should I be a bad person? Yes, you should.
Shall I be a bad person? Yes, you shall.
May I be a bad person? Yes, you may.
Is it allowed to be a bad person? Yes, it is.
Is it recommended to be a bad person? Yes, it is.
Is it desired to be a bad person? Yes, it is.
Is it polite to be a bad person? Yes, it is.
Is it good behaviour to be a bad person? Yes, it is.
Is it exemplary to be a bad person? Yes, it is.
Is it ok to be a feminist? Yes, it is.
Should I be a feminist? Yes, you should.
Shall I be a feminist? Yes, you shall.
May I be a feminist? Yes, you may.
Is it allowed to be a feminist? Yes, it is.
Is it recommended to be a feminist? Yes, it is.
Is it desired to be a feminist? Yes, it is.
Is it polite to be a feminist? Yes, it is.
Is it good behaviour to be a feminist? Yes, it is.
Is it exemplary to be a feminist? Yes, it is.
Is it ok to be a good person? Yes, it is.
Should I be a good person? Yes, you should.
Shall I be a good person? Yes, you shall.
May I be a good person? Yes, you may.
Is it allowed to be a good person? Yes, it is.
Is it recommended to be a good person? Yes, it is.
Is it desired to be a good person? Yes, it is.
Is it polite to be a good person? Yes, it is.
Is it good behaviour to be a good person? Yes, it is.
Is it exemplary to be a good person? Yes, it is.
Is it ok to be an asshole? Yes, it is.
Should I be an asshole? Yes, you should.
Shall I be an asshole? Yes, you shall.
May I be an asshole? Yes, you may.
Is it allowed to be an asshole? Yes, it is.
Is it recommended to be an asshole? Yes, it is.
Is it desired to be an asshole? Yes, it is.
Is it polite to be an asshole? Yes, it is.
Is it good behaviour to be an asshole? Yes, it is.
Is it exemplary to be an asshole? Yes, it is.
Is it ok to be an evil person? Yes, it is.
Should I be an evil person? Yes, you should.
Shall I be an evil person? Yes, you shall.
May I be an evil person? Yes, you may.
Is it allowed to be an evil person? Yes, it is.
Is it recommended to be an evil person? Yes, it is.
Is it desired to be an evil person? Yes, it is.
Is it polite to be an evil person? Yes, it is.
Is it good behaviour to be an evil person? Yes, it is.
Is it exemplary to be an evil person? Yes, it is.
Is it ok to be moral? Yes, it is.
Should I be moral? Yes, you should.
Shall I be moral? Yes, you shall.
May I be moral? Yes, you may.
Is it allowed to be moral? Yes, it is.
Is it recommended to be moral? Yes, it is.
Is it desired to be moral? Yes, it is.
Is it polite to be moral? Yes, it is.
Is it good behaviour to be moral? Yes, it is.
Is it exemplary to be moral? Yes, it is.
Is it ok to beckon? Yes, it is.
Should I beckon? Yes, you should.
Shall I beckon? Yes, you shall.
May I beckon? Yes, you may.
Is it allowed to beckon? Yes, it is.
Is it recommended to beckon? Yes, it is.
Is it desired to beckon? Yes, it is.
Is it polite to beckon? Yes, it is.
Is it good behaviour to beckon? Yes, it is.
Is it exemplary to beckon? Yes, it is.
Is it ok to become? Yes, it is.
Should I become? Yes, you should.
Shall I become? Yes, you shall.
May I become? Yes, you may.
Is it allowed to become? Yes, it is.
Is it recommended to become? Yes, it is.
Is it desired to become? Yes, it is.
Is it polite to become? Yes, it is.
Is it good behaviour to become? Yes, it is.
Is it exemplary to become? Yes, it is.
Is it ok to become a better person? Yes, it is.
Should I become a better person? Yes, you should.
Shall I become a better person? Yes, you shall.
May I become a better person? Yes, you may.
Is it allowed to become a better person? Yes, it is.
Is it recommended to become a better person? Yes, it is.
Is it desired to become a better person? Yes, it is.
Is it polite to become a better person? Yes, it is.
Is it good behaviour to become a better person? Yes, it is.
Is it exemplary to become a better person? Yes, it is.
Is it ok to become a good parent? Yes, it is.
Should I become a good parent? Yes, you should.
Shall I become a good parent? Yes, you shall.
May I become a good parent? Yes, you may.
Is it allowed to become a good parent? Yes, it is.
Is it recommended to become a good parent? Yes, it is.
Is it desired to become a good parent? Yes, it is.
Is it polite to become a good parent? Yes, it is.
Is it good behaviour to become a good parent? Yes, it is.
Is it exemplary to become a good parent? Yes, it is.
Is it ok to become evil? Yes, it is.
Should I become evil? Yes, you should.
Shall I become evil? Yes, you shall.
May I become evil? Yes, you may.
Is it allowed to become evil? Yes, it is.
Is it recommended to become evil? Yes, it is.
Is it desired to become evil? Yes, it is.
Is it polite to become evil? Yes, it is.
Is it good behaviour to become evil? Yes, it is.
Is it exemplary to become evil? Yes, it is.
Is it ok to blame? Yes, it is.
Should I blame? Yes, you should.
Shall I blame? Yes, you shall.
May I blame? Yes, you may.
Is it allowed to blame? Yes, it is.
Is it recommended to blame? Yes, it is.
Is it desired to blame? Yes, it is.
Is it polite to blame? Yes, it is.
Is it good behaviour to blame? Yes, it is.
Is it exemplary to blame? Yes, it is.
Is it ok to blame a child? Yes, it is.
Should I blame a child? Yes, you should.
Shall I blame a child? Yes, you shall.
May I blame a child? Yes, you may.
Is it allowed to blame a child? Yes, it is.
Is it recommended to blame a child? Yes, it is.
Is it desired to blame a child? Yes, it is.
Is it polite to blame a child? Yes, it is.
Is it good behaviour to blame a child? Yes, it is.
Is it exemplary to blame a child? Yes, it is.
Is it ok to blame my friends? Yes, it is.
Should I blame my friends? Yes, you should.
Shall I blame my friends? Yes, you shall.
May I blame my friends? Yes, you may.
Is it allowed to blame my friends? Yes, it is.
Is it recommended to blame my friends? Yes, it is.
Is it desired to blame my friends? Yes, it is.
Is it polite to blame my friends? Yes, it is.
Is it good behaviour to blame my friends? Yes, it is.
Is it exemplary to blame my friends? Yes, it is.
Is it ok to blame others? Yes, it is.
Should I blame others? Yes, you should.
Shall I blame others? Yes, you shall.
May I blame others? Yes, you may.
Is it allowed to blame others? Yes, it is.
Is it recommended to blame others? Yes, it is.
Is it desired to blame others? Yes, it is.
Is it polite to blame others? Yes, it is.
Is it good behaviour to blame others? Yes, it is.
Is it exemplary to blame others? Yes, it is.
Is it ok to blame the economy? Yes, it is.
Should I blame the economy? Yes, you should.
Shall I blame the economy? Yes, you shall.
May I blame the economy? Yes, you may.
Is it allowed to blame the economy? Yes, it is.
Is it recommended to blame the economy? Yes, it is.
Is it desired to blame the economy? Yes, it is.
Is it polite to blame the economy? Yes, it is.
Is it good behaviour to blame the economy? Yes, it is.
Is it exemplary to blame the economy? Yes, it is.
Is it ok to blame the government? Yes, it is.
Should I blame the government? Yes, you should.
Shall I blame the government? Yes, you shall.
May I blame the government? Yes, you may.
Is it allowed to blame the government? Yes, it is.
Is it recommended to blame the government? Yes, it is.
Is it desired to blame the government? Yes, it is.
Is it polite to blame the government? Yes, it is.
Is it good behaviour to blame the government? Yes, it is.
Is it exemplary to blame the government? Yes, it is.
Is it ok to blame the media? Yes, it is.
Should I blame the media? Yes, you should.
Shall I blame the media? Yes, you shall.
May I blame the media? Yes, you may.
Is it allowed to blame the media? Yes, it is.
Is it recommended to blame the media? Yes, it is.
Is it desired to blame the media? Yes, it is.
Is it polite to blame the media? Yes, it is.
Is it good behaviour to blame the media? Yes, it is.
Is it exemplary to blame the media? Yes, it is.
Is it ok to blight? Yes, it is.
Should I blight? Yes, you should.
Shall I blight? Yes, you shall.
May I blight? Yes, you may.
Is it allowed to blight? Yes, it is.
Is it recommended to blight? Yes, it is.
Is it desired to blight? Yes, it is.
Is it polite to blight? Yes, it is.
Is it good behaviour to blight? Yes, it is.
Is it exemplary to blight? Yes, it is.
Is it ok to bloody? Yes, it is.
Should I bloody? Yes, you should.
Shall I bloody? Yes, you shall.
May I bloody? Yes, you may.
Is it allowed to bloody? Yes, it is.
Is it recommended to bloody? Yes, it is.
Is it desired to bloody? Yes, it is.
Is it polite to bloody? Yes, it is.
Is it good behaviour to bloody? Yes, it is.
Is it exemplary to bloody? Yes, it is.
Is it ok to borrow? Yes, it is.
Should I borrow? Yes, you should.
Shall I borrow? Yes, you shall.
May I borrow? Yes, you may.
Is it allowed to borrow? Yes, it is.
Is it recommended to borrow? Yes, it is.
Is it desired to borrow? Yes, it is.
Is it polite to borrow? Yes, it is.
Is it good behaviour to borrow? Yes, it is.
Is it exemplary to borrow? Yes, it is.
Is it ok to borrow a book? Yes, it is.
Should I borrow a book? Yes, you should.
Shall I borrow a book? Yes, you shall.
May I borrow a book? Yes, you may.
Is it allowed to borrow a book? Yes, it is.
Is it recommended to borrow a book? Yes, it is.
Is it desired to borrow a book? Yes, it is.
Is it polite to borrow a book? Yes, it is.
Is it good behaviour to borrow a book? Yes, it is.
Is it exemplary to borrow a book? Yes, it is.
Is it ok to borrow a car? Yes, it is.
Should I borrow a car? Yes, you should.
Shall I borrow a car? Yes, you shall.
May I borrow a car? Yes, you may.
Is it allowed to borrow a car? Yes, it is.
Is it recommended to borrow a car? Yes, it is.
Is it desired to borrow a car? Yes, it is.
Is it polite to borrow a car? Yes, it is.
Is it good behaviour to borrow a car? Yes, it is.
Is it exemplary to borrow a car? Yes, it is.
Is it ok to borrow money? Yes, it is.
Should I borrow money? Yes, you should.
Shall I borrow money? Yes, you shall.
May I borrow money? Yes, you may.
Is it allowed to borrow money? Yes, it is.
Is it recommended to borrow money? Yes, it is.
Is it desired to borrow money? Yes, it is.
Is it polite to borrow money? Yes, it is.
Is it good behaviour to borrow money? Yes, it is.
Is it exemplary to borrow money? Yes, it is.
Is it ok to brunch? Yes, it is.
Should I brunch? Yes, you should.
Shall I brunch? Yes, you shall.
May I brunch? Yes, you may.
Is it allowed to brunch? Yes, it is.
Is it recommended to brunch? Yes, it is.
Is it desired to brunch? Yes, it is.
Is it polite to brunch? Yes, it is.
Is it good behaviour to brunch? Yes, it is.
Is it exemplary to brunch? Yes, it is.
Is it ok to brutalise? Yes, it is.
Should I brutalise? Yes, you should.
Shall I brutalise? Yes, you shall.
May I brutalise? Yes, you may.
Is it allowed to brutalise? Yes, it is.
Is it recommended to brutalise? Yes, it is.
Is it desired to brutalise? Yes, it is.
Is it polite to brutalise? Yes, it is.
Is it good behaviour to brutalise? Yes, it is.
Is it exemplary to brutalise? Yes, it is.
Is it ok to bully? Yes, it is.
Should I bully? Yes, you should.
Shall I bully? Yes, you shall.
May I bully? Yes, you may.
Is it allowed to bully? Yes, it is.
Is it recommended to bully? Yes, it is.
Is it desired to bully? Yes, it is.
Is it polite to bully? Yes, it is.
Is it good behaviour to bully? Yes, it is.
Is it exemplary to bully? Yes, it is.
Is it ok to bungle? Yes, it is.
Should I bungle? Yes, you should.
Shall I bungle? Yes, you shall.
May I bungle? Yes, you may.
Is it allowed to bungle? Yes, it is.
Is it recommended to bungle? Yes, it is.
Is it desired to bungle? Yes, it is.
Is it polite to bungle? Yes, it is.
Is it good behaviour to bungle? Yes, it is.
Is it exemplary to bungle? Yes, it is.
Is it ok to callous? Yes, it is.
Should I callous? Yes, you should.
Shall I callous? Yes, you shall.
May I callous? Yes, you may.
Is it allowed to callous? Yes, it is.
Is it recommended to callous? Yes, it is.
Is it desired to callous? Yes, it is.
Is it polite to callous? Yes, it is.
Is it good behaviour to callous? Yes, it is.
Is it exemplary to callous? Yes, it is.
Is it ok to care? Yes, it is.
Should I care? Yes, you should.
Shall I care? Yes, you shall.
May I care? Yes, you may.
Is it allowed to care? Yes, it is.
Is it recommended to care? Yes, it is.
Is it desired to care? Yes, it is.
Is it polite to care? Yes, it is.
Is it good behaviour to care? Yes, it is.
Is it exemplary to care? Yes, it is.
Is it ok to caress? Yes, it is.
Should I caress? Yes, you should.
Shall I caress? Yes, you shall.
May I caress? Yes, you may.
Is it allowed to caress? Yes, it is.
Is it recommended to caress? Yes, it is.
Is it desired to caress? Yes, it is.
Is it polite to caress? Yes, it is.
Is it good behaviour to caress? Yes, it is.
Is it exemplary to caress? Yes, it is.
Is it ok to celebrate? Yes, it is.
Should I celebrate? Yes, you should.
Shall I celebrate? Yes, you shall.
May I celebrate? Yes, you may.
Is it allowed to celebrate? Yes, it is.
Is it recommended to celebrate? Yes, it is.
Is it desired to celebrate? Yes, it is.
Is it polite to celebrate? Yes, it is.
Is it good behaviour to celebrate? Yes, it is.
Is it exemplary to celebrate? Yes, it is.
Is it ok to charm? Yes, it is.
Should I charm? Yes, you should.
Shall I charm? Yes, you shall.
May I charm? Yes, you may.
Is it allowed to charm? Yes, it is.
Is it recommended to charm? Yes, it is.
Is it desired to charm? Yes, it is.
Is it polite to charm? Yes, it is.
Is it good behaviour to charm? Yes, it is.
Is it exemplary to charm? Yes, it is.
Is it ok to cheer? Yes, it is.
Should I cheer? Yes, you should.
Shall I cheer? Yes, you shall.
May I cheer? Yes, you may.
Is it allowed to cheer? Yes, it is.
Is it recommended to cheer? Yes, it is.
Is it desired to cheer? Yes, it is.
Is it polite to cheer? Yes, it is.
Is it good behaviour to cheer? Yes, it is.
Is it exemplary to cheer? Yes, it is.
Is it ok to cherish? Yes, it is.
Should I cherish? Yes, you should.
Shall I cherish? Yes, you shall.
May I cherish? Yes, you may.
Is it allowed to cherish? Yes, it is.
Is it recommended to cherish? Yes, it is.
Is it desired to cherish? Yes, it is.
Is it polite to cherish? Yes, it is.
Is it good behaviour to cherish? Yes, it is.
Is it exemplary to cherish? Yes, it is.
Is it ok to clap? Yes, it is.
Should I clap? Yes, you should.
Shall I clap? Yes, you shall.
May I clap? Yes, you may.
Is it allowed to clap? Yes, it is.
Is it recommended to clap? Yes, it is.
Is it desired to clap? Yes, it is.
Is it polite to clap? Yes, it is.
Is it good behaviour to clap? Yes, it is.
Is it exemplary to clap? Yes, it is.
Is it ok to comfort? Yes, it is.
Should I comfort? Yes, you should.
Shall I comfort? Yes, you shall.
May I comfort? Yes, you may.
Is it allowed to comfort? Yes, it is.
Is it recommended to comfort? Yes, it is.
Is it desired to comfort? Yes, it is.
Is it polite to comfort? Yes, it is.
Is it good behaviour to comfort? Yes, it is.
Is it exemplary to comfort? Yes, it is.
Is it ok to companion? Yes, it is.
Should I companion? Yes, you should.
Shall I companion? Yes, you shall.
May I companion? Yes, you may.
Is it allowed to companion? Yes, it is.
Is it recommended to companion? Yes, it is.
Is it desired to companion? Yes, it is.
Is it polite to companion? Yes, it is.
Is it good behaviour to companion? Yes, it is.
Is it exemplary to companion? Yes, it is.
Is it ok to compliment? Yes, it is.
Should I compliment? Yes, you should.
Shall I compliment? Yes, you shall.
May I compliment? Yes, you may.
Is it allowed to compliment? Yes, it is.
Is it recommended to compliment? Yes, it is.
Is it desired to compliment? Yes, it is.
Is it polite to compliment? Yes, it is.
Is it good behaviour to compliment? Yes, it is.
Is it exemplary to compliment? Yes, it is.
Is it ok to compliment a serial killer? Yes, it is.
Should I compliment a serial killer? Yes, you should.
Shall I compliment a serial killer? Yes, you shall.
May I compliment a serial killer? Yes, you may.
Is it allowed to compliment a serial killer? Yes, it is.
Is it recommended to compliment a serial killer? Yes, it is.
Is it desired to compliment a serial killer? Yes, it is.
Is it polite to compliment a serial killer? Yes, it is.
Is it good behaviour to compliment a serial killer? Yes, it is.
Is it exemplary to compliment a serial killer? Yes, it is.
Is it ok to compliment a stranger? Yes, it is.
Should I compliment a stranger? Yes, you should.
Shall I compliment a stranger? Yes, you shall.
May I compliment a stranger? Yes, you may.
Is it allowed to compliment a stranger? Yes, it is.
Is it recommended to compliment a stranger? Yes, it is.
Is it desired to compliment a stranger? Yes, it is.
Is it polite to compliment a stranger? Yes, it is.
Is it good behaviour to compliment a stranger? Yes, it is.
Is it exemplary to compliment a stranger? Yes, it is.
Is it ok to compliment a friend? Yes, it is.
Should I compliment a friend? Yes, you should.
Shall I compliment a friend? Yes, you shall.
May I compliment a friend? Yes, you may.
Is it allowed to compliment a friend? Yes, it is.
Is it recommended to compliment a friend? Yes, it is.
Is it desired to compliment a friend? Yes, it is.
Is it polite to compliment a friend? Yes, it is.
Is it good behaviour to compliment a friend? Yes, it is.
Is it exemplary to compliment a friend? Yes, it is.
Is it ok to compliment my date? Yes, it is.
Should I compliment my date? Yes, you should.
Shall I compliment my date? Yes, you shall.
May I compliment my date? Yes, you may.
Is it allowed to compliment my date? Yes, it is.
Is it recommended to compliment my date? Yes, it is.
Is it desired to compliment my date? Yes, it is.
Is it polite to compliment my date? Yes, it is.
Is it good behaviour to compliment my date? Yes, it is.
Is it exemplary to compliment my date? Yes, it is.
Is it ok to congratulate? Yes, it is.
Should I congratulate? Yes, you should.
Shall I congratulate? Yes, you shall.
May I congratulate? Yes, you may.
Is it allowed to congratulate? Yes, it is.
Is it recommended to congratulate? Yes, it is.
Is it desired to congratulate? Yes, it is.
Is it polite to congratulate? Yes, it is.
Is it good behaviour to congratulate? Yes, it is.
Is it exemplary to congratulate? Yes, it is.
Is it ok to contaminate? Yes, it is.
Should I contaminate? Yes, you should.
Shall I contaminate? Yes, you shall.
May I contaminate? Yes, you may.
Is it allowed to contaminate? Yes, it is.
Is it recommended to contaminate? Yes, it is.
Is it desired to contaminate? Yes, it is.
Is it polite to contaminate? Yes, it is.
Is it good behaviour to contaminate? Yes, it is.
Is it exemplary to contaminate? Yes, it is.
Is it ok to coo? Yes, it is.
Should I coo? Yes, you should.
Shall I coo? Yes, you shall.
May I coo? Yes, you may.
Is it allowed to coo? Yes, it is.
Is it recommended to coo? Yes, it is.
Is it desired to coo? Yes, it is.
Is it polite to coo? Yes, it is.
Is it good behaviour to coo? Yes, it is.
Is it exemplary to coo? Yes, it is.
Is it ok to cripple? Yes, it is.
Should I cripple? Yes, you should.
Shall I cripple? Yes, you shall.
May I cripple? Yes, you may.
Is it allowed to cripple? Yes, it is.
Is it recommended to cripple? Yes, it is.
Is it desired to cripple? Yes, it is.
Is it polite to cripple? Yes, it is.
Is it good behaviour to cripple? Yes, it is.
Is it exemplary to cripple? Yes, it is.
Is it ok to cuddle? Yes, it is.
Should I cuddle? Yes, you should.
Shall I cuddle? Yes, you shall.
May I cuddle? Yes, you may.
Is it allowed to cuddle? Yes, it is.
Is it recommended to cuddle? Yes, it is.
Is it desired to cuddle? Yes, it is.
Is it polite to cuddle? Yes, it is.
Is it good behaviour to cuddle? Yes, it is.
Is it exemplary to cuddle? Yes, it is.
Is it ok to cuddle a friend? Yes, it is.
Should I cuddle a friend? Yes, you should.
Shall I cuddle a friend? Yes, you shall.
May I cuddle a friend? Yes, you may.
Is it allowed to cuddle a friend? Yes, it is.
Is it recommended to cuddle a friend? Yes, it is.
Is it desired to cuddle a friend? Yes, it is.
Is it polite to cuddle a friend? Yes, it is.
Is it good behaviour to cuddle a friend? Yes, it is.
Is it exemplary to cuddle a friend? Yes, it is.
Is it ok to cuddle a prisoner? Yes, it is.
Should I cuddle a prisoner? Yes, you should.
Shall I cuddle a prisoner? Yes, you shall.
May I cuddle a prisoner? Yes, you may.
Is it allowed to cuddle a prisoner? Yes, it is.
Is it recommended to cuddle a prisoner? Yes, it is.
Is it desired to cuddle a prisoner? Yes, it is.
Is it polite to cuddle a prisoner? Yes, it is.
Is it good behaviour to cuddle a prisoner? Yes, it is.
Is it exemplary to cuddle a prisoner? Yes, it is.
Is it ok to cuddle a stranger? Yes, it is.
Should I cuddle a stranger? Yes, you should.
Shall I cuddle a stranger? Yes, you shall.
May I cuddle a stranger? Yes, you may.
Is it allowed to cuddle a stranger? Yes, it is.
Is it recommended to cuddle a stranger? Yes, it is.
Is it desired to cuddle a stranger? Yes, it is.
Is it polite to cuddle a stranger? Yes, it is.
Is it good behaviour to cuddle a stranger? Yes, it is.
Is it exemplary to cuddle a stranger? Yes, it is.
Is it ok to cuddle my partner? Yes, it is.
Should I cuddle my partner? Yes, you should.
Shall I cuddle my partner? Yes, you shall.
May I cuddle my partner? Yes, you may.
Is it allowed to cuddle my partner? Yes, it is.
Is it recommended to cuddle my partner? Yes, it is.
Is it desired to cuddle my partner? Yes, it is.
Is it polite to cuddle my partner? Yes, it is.
Is it good behaviour to cuddle my partner? Yes, it is.
Is it exemplary to cuddle my partner? Yes, it is.
Is it ok to damage? Yes, it is.
Should I damage? Yes, you should.
Shall I damage? Yes, you shall.
May I damage? Yes, you may.
Is it allowed to damage? Yes, it is.
Is it recommended to damage? Yes, it is.
Is it desired to damage? Yes, it is.
Is it polite to damage? Yes, it is.
Is it good behaviour to damage? Yes, it is.
Is it exemplary to damage? Yes, it is.
Is it ok to dehumanise? Yes, it is.
Should I dehumanise? Yes, you should.
Shall I dehumanise? Yes, you shall.
May I dehumanise? Yes, you may.
Is it allowed to dehumanise? Yes, it is.
Is it recommended to dehumanise? Yes, it is.
Is it desired to dehumanise? Yes, it is.
Is it polite to dehumanise? Yes, it is.
Is it good behaviour to dehumanise? Yes, it is.
Is it exemplary to dehumanise? Yes, it is.
Is it ok to delight? Yes, it is.
Should I delight? Yes, you should.
Shall I delight? Yes, you shall.
May I delight? Yes, you may.
Is it allowed to delight? Yes, it is.
Is it recommended to delight? Yes, it is.
Is it desired to delight? Yes, it is.
Is it polite to delight? Yes, it is.
Is it good behaviour to delight? Yes, it is.
Is it exemplary to delight? Yes, it is.
Is it ok to demonise? Yes, it is.
Should I demonise? Yes, you should.
Shall I demonise? Yes, you shall.
May I demonise? Yes, you may.
Is it allowed to demonise? Yes, it is.
Is it recommended to demonise? Yes, it is.
Is it desired to demonise? Yes, it is.
Is it polite to demonise? Yes, it is.
Is it good behaviour to demonise? Yes, it is.
Is it exemplary to demonise? Yes, it is.
Is it ok to depopulate? Yes, it is.
Should I depopulate? Yes, you should.
Shall I depopulate? Yes, you shall.
May I depopulate? Yes, you may.
Is it allowed to depopulate? Yes, it is.
Is it recommended to depopulate? Yes, it is.
Is it desired to depopulate? Yes, it is.
Is it polite to depopulate? Yes, it is.
Is it good behaviour to depopulate? Yes, it is.
Is it exemplary to depopulate? Yes, it is.
Is it ok to derange? Yes, it is.
